Date,VNQ,VNQI,SCHH,IYR,XLRE,RWR,RWX,RWO,ICF,REET,REM,USRT,FREL,IFGL,MORL,KBWY,REZ,GQRE,WPS,MORT,SRET,URE,FRI,DRW,MRRL,ROOF,GRI,FFR,DRN,TAO,PSR,IFEU,EWRE,SRS,DRV,WREI,REK,LRET,PRME
2017-09-21,78.232285,55.75584,39.301727,80.550003,30.711298,87.70443,36.182255,45.421658,97.047043,23.999706,40.658993,46.063274,22.623852,27.9193,13.329632,36.57,61.020621999999996,59.147521999999995,38.419998,22.058195,15.435,62.245281000000006,22.595148000000002,30.212742,13.272885999999998,24.625708,42.495391999999995,42.726704,21.678526,27.091175,77.460854,36.789875,26.111223000000003,30.545059000000002,10.834653,44.927761,16.116498999999997,23.063932,18.727111999999998
2017-09-22,77.680458,55.654143999999995,39.024483000000004,80.07,30.445812,87.1353,36.342392,45.316792,96.22647099999999,23.91605,40.987381,45.58181,22.484083,28.014266999999997,13.521106,36.639998999999996,60.427917,59.00405500000001,38.52,22.173496,15.49,61.502518,22.430218,30.017941999999998,13.542292000000002,24.633989,42.077374,42.555797999999996,21.216661,26.609749,76.99356800000001,36.912884000000005,25.909670000000002,30.902308,11.04263,44.756535,16.215799,22.948875,18.727111999999998
2017-09-25,78.132469,54.849846,39.311287,80.5,30.559593,87.808769,36.144577000000005,45.431187,96.674927,23.962528,41.065151,45.915134,22.605215,27.824337,13.616843,37.139998999999996,60.606663,59.00405500000001,38.279999,22.226709,15.51,62.127998,22.566042000000003,29.303671,13.457872,24.836433,41.934864000000005,42.631752,21.563060999999998,25.261757,77.02278100000001,36.676319,26.040537,30.594677,10.864366,44.756535,16.146292000000003,23.098185,18.643385000000002
2017-09-26,78.26430500000001,54.775879,39.368649,79.839996,30.588034000000004,88.00797299999999,36.069218,45.478848,96.86140400000001,24.038465,41.293182,45.973988,22.614532,27.804274,13.727310000000001,37.169998,60.430164000000005,59.042313,37.990002000000004,22.333143,15.56,62.147544999999994,22.62425,29.242886,13.675896,24.86404,42.029872999999995,42.707714,21.70739,25.200485,77.178535,36.724785,26.077791,30.584753000000003,10.795038,45.018467,16.116498999999997,23.18601,18.643385000000002
2017-09-27,77.558037,54.60527,38.976688,79.199997,30.332029,87.16375699999999,35.909073,45.068951,95.909798,23.785332,41.31086,45.553577000000004,22.428176999999998,27.63229,13.771495000000002,37.27,59.727924,58.726684999999996,37.82,22.342016,15.48,61.19080400000001,22.391413,29.22418,13.648,24.77202,41.716362,42.375397,21.120447,25.629391000000002,76.34133100000001,36.363716,25.84376,31.061089000000003,11.092149000000001,44.250885,16.265451000000002,23.18601,18.643385000000002
2017-09-28,78.085373,54.633083,39.24437,79.790001,30.550109999999997,87.742386,35.899658,45.335865000000005,96.601883,23.925964,41.443436,45.936611,22.586579999999998,27.63229,13.786226000000001,37.5,60.240364,58.908409,37.830002,22.412971,15.44,62.061466,22.566042000000003,29.233534000000002,13.690578,24.90085,41.763859000000004,42.470345,21.543816,25.585625,76.798874,36.420722999999995,25.972715,30.604597,10.874267999999999,44.557922,16.215799,23.18601,18.643385000000002
2017-09-29,78.24546099999999,55.087437,39.32085,79.879997,30.569071,87.75187700000001,36.153999,45.526505,96.746063,23.99159,41.399246000000005,46.020702,22.609875,27.871157,13.808316,37.5,60.344749,59.128395,38.09,22.404101999999998,15.56,62.276683999999996,22.585445,29.560843,13.67443,24.919252,42.029872999999995,42.831142,21.62079,25.970766,76.798874,36.8008,25.991817,30.535134999999997,10.804942,44.557922,16.156219,23.18601,18.643385000000002
2017-10-02,78.132469,54.911255000000004,39.187003999999995,79.720001,30.455292,87.533691,36.069218,45.373989,96.351959,23.954088,41.655563,45.89925,22.567942000000002,27.794718,13.962975,37.66,60.107513,59.23360400000001,37.990002000000004,22.508011,15.54,61.95385699999999,22.536934,29.43927,13.859416,25.057282999999998,41.944365999999995,42.612770000000005,21.553438,26.005775,76.896225,36.639271,26.010925,30.654217,10.854461,44.932114,16.126429,23.18601,18.643385000000002
2017-10-03,78.019478,55.365604000000005,39.177444,79.779999,30.445812,87.50524899999999,36.238777,45.345397999999996,96.255836,23.944714,41.655563,45.908584999999995,22.567942000000002,27.890268,13.999794,37.599998,59.993632999999996,59.252731000000004,38.200001,22.562225,15.519,61.9832,22.536934,29.654359999999997,13.82271,25.057282999999998,41.896865999999996,42.584274,21.437970999999997,26.443438,76.896225,36.696278,25.924951999999998,30.624446999999996,10.903979,44.816978000000006,16.166149,22.887398,18.568958
2017-10-04,78.414978,55.439785,39.426018,80.290001,30.711298,88.02694699999999,36.050369,45.48838,96.784508,23.982214000000003,41.71743,46.067413,22.707714000000003,27.832935,14.043982999999999,37.650002,60.28781899999999,59.23360400000001,38.099998,22.580296,15.54,62.824512,22.67276,29.878803,13.899057999999998,25.121696,42.077374,42.755184,21.793989,26.898603,77.548462,36.563251,26.166624,30.197731,10.725713,44.711433,16.07678,23.02792,18.624781
2017-10-05,78.697487,55.467602,39.598095,80.540001,30.806117999999998,88.377914,36.003277000000004,45.564636,97.159378,24.019716,41.903038,46.300971999999994,22.828844,27.832935,14.110259,37.889998999999996,60.36373100000001,59.367504000000004,38.110001000000004,22.679689,15.562,63.196262,22.740671,29.953613,14.053947,25.296539000000003,42.143875,42.812157,22.015297,27.178704999999997,77.889198,36.44923,26.305138,30.03895,10.626675,44.970493,16.007271,23.436312,18.736414
2017-10-06,78.44323,55.282154000000006,39.454689,80.25,30.720781,88.150261,35.937336,45.440712,96.986366,23.935337,41.390411,46.160839,22.735666000000002,27.766056,13.823048000000002,37.650002,60.117004,59.252731000000004,38.049999,22.36344,15.495,62.76582,22.653357,29.822691,13.734623000000001,25.176911999999998,42.143875,42.67923,21.793989,26.924865999999998,77.509529,36.202183000000005,26.189552,30.247346999999998,10.735617,44.970493,16.066848999999998,22.992788,18.736414
2017-10-09,78.63157700000001,55.133796999999994,39.550292999999996,80.410004,30.787153000000004,88.33049799999999,35.946754,45.516975,97.14016,23.944714,41.505306,46.235577,22.772938,27.775608000000002,13.859871,37.779999,60.316277,59.367504000000004,38.080002,22.462833,15.53,62.990826,22.701864,29.626305,13.800689000000002,25.222921,41.934864000000005,42.821647999999996,21.93832,26.565984999999998,77.509529,36.297199,26.273613,30.148109,10.656386,45.124008,16.027126000000003,23.311598,18.736414
2017-10-10,78.866997,55.71796,39.674572,80.519997,30.834562,88.558151,36.201096,45.736216999999996,97.39967299999999,24.07597,41.452273999999996,46.310314,22.828844,28.014478999999998,13.867234,37.849998,60.183426000000004,59.797913,38.450001,22.372473,15.554,63.16690799999999,22.760075,30.000378,13.793349,25.296539000000003,42.466892,42.973572,22.101896,26.99489,77.986542,36.724785,26.307045000000002,30.029028000000004,10.587060000000001,45.162384,15.997338000000001,23.405573,18.736414
2017-10-11,79.130669,55.6716,39.789295,80.860001,31.005234,88.89964300000001,36.40834,45.936398,97.880287,24.150973999999998,41.531826,46.422416999999996,22.884752,28.052698,13.926153,38.029999,60.240364,59.845737,38.450001,22.471869,15.572,63.744087,22.827988,29.878803,13.845469,25.34255,42.590396999999996,43.210941,22.380936,26.45219,77.986542,36.810303000000005,26.440779,29.771009000000003,10.458313,45.277527,15.927829000000001,23.405573,18.838749
2017-10-12,79.639191,55.847775,40.028296999999995,81.389999,31.223315999999997,89.35494200000001,36.427174,46.117512,98.457008,24.23535,41.602531,46.833492,23.043156,28.138689000000003,13.92462,38.200001,60.591480000000004,60.20919,38.599998,22.471869,15.63,64.556061,22.954109,30.000378,13.927122,25.406963,42.742405,43.24892,22.73695,26.653516999999997,78.74587199999999,37.047847999999995,26.617496000000003,29.383989,10.280046,45.431042,15.848386999999999,23.134604,18.838749
2017-10-13,79.84635899999999,56.107399,40.16214,81.57,31.308646999999997,89.65847,36.530796,46.27956,98.754982,24.33848,41.770454,46.945595000000004,23.108381,28.253345,14.077723,38.23,60.847706,60.371792000000006,38.73,22.535120000000003,15.68,64.820175,23.022018,30.112595000000002,13.995806,25.489784,42.941917,43.486286,22.890907000000002,26.793566,79.067116,37.038345,26.709196000000002,29.284752,10.200817,45.431042,15.818597,23.908424,19.015508999999998
2017-10-16,79.45084399999999,56.070308999999995,39.942257,81.160004,31.156940000000002,89.155739,36.483692,46.07938,98.264771,24.244723999999998,41.788132,46.646637,22.996567000000002,28.262901,14.100689000000001,38.119999,60.506073,60.237888,38.759997999999996,22.61644,15.69,64.252785,22.9153,30.019073,14.064487,25.462177,42.666401,43.33437,22.582998,26.793566,79.067116,37.104858,26.564959,29.552691999999997,10.349372,45.431042,15.868247,23.908424,19.015508999999998
